age,Valore Reale,Valore Predetto,club_name,player_name,position,club_involved_name,season
22.0,1.0,6.0130196,Eintracht Frankfurt,Andersson Ordóñez,Centre-Back,Barcelona SC,2016/2017
29.0,10.0,12.018743,Zenit St. Petersburg,Yaroslav Rakitskyi,Centre-Back,Shakhtar D.,2018/2019
25.0,7.0,7.530927,Brighton & Hove Albion,Deniz Undav,Centre-Forward,Union SG,2021/2022
24.0,84.7,34.28363,Manchester United,Romelu Lukaku,Centre-Forward,Everton,2017/2018
27.0,2.5,6.3935657,Leicester City,Danny Simpson,Right-Back,QPR,2014/2015
30.0,2.6,2.40328,ACF Fiorentina,José María Basanta,Centre-Back,Monterrey,2014/2015
23.0,2.7,3.9386523,Bologna FC 1909,Lorenzo Crisetig,Defensive Midfield,Inter,2016/2017
26.0,21.0,9.685169,Sevilla FC,Quincy Promes,Left Winger,Spartak Moscow,2018/2019
29.0,10.0,8.175871,Athletic Bilbao,Raúl García,Centre-Forward,Atlético Madrid,2015/2016
20.0,0.019,3.0244281,FK Orenburg,Ivan Lapshov,Centre-Back,Loko-Kazanka M.,2019/2020
26.0,7.0,6.433674,AS Roma,Iago Falque,Right Winger,Genoa,2015/2016
25.0,25.0,25.14878,Everton FC,André Gomes,Central Midfield,Barcelona,2019/2020
25.0,17.0,6.6750736,West Bromwich Albion,Salomón Rondón,Centre-Forward,Zenit S-Pb,2015/2016
32.0,3.0,4.9586596,VfB Stuttgart,Mario Gómez,Centre-Forward,VfL Wolfsburg,2017/2018
24.0,1.75,3.1466587,Vitória Guimarães SC,Guillermo Celis,Defensive Midfield,Benfica,2017/2018
25.0,0.6,4.7236667,FK Rostov,Kamil Agalarov,Defensive Midfield,Anzhi,2013/2014
31.0,0.6,0.07533361,Rio Ave FC,Jhonatan,Goalkeeper,Vit. Guimarães,2022/2023
16.0,0.5,1.9418546,Krylya Sovetov Samara,Sergey Pinyaev,Left Winger,Chertanovo,2021/2022
23.0,3.2,5.0861816,FC Porto,Toni Martínez,Centre-Forward,Famalicão,2020/2021
31.0,1.5,2.0575774,Levante UD,Coke,Right-Back,FC Schalke 04,2018/2019
20.0,0.035,2.0821245,Krylya Sovetov Samara,Leonid Gerchikov,Right Winger,Dolgoprudnyi,2021/2022
32.0,2.7,11.013895,Atlético de Madrid,Daniel Wass,Central Midfield,Valencia,2021/2022
20.0,2.1,7.354705,SL Benfica,Alejandro Grimaldo,Left-Back,Barcelona B,2015/2016
28.0,3.2,10.163495,West Ham United,James Collins,Centre-Back,Aston Villa,2012/2013
21.0,1.0,1.4271597,Parma FC,Daniele Casiraghi,Attacking Midfield,Lecce,2014/2015
24.0,4.1,2.8130915,FC Toulouse,Veljko Birmancevic,Left Winger,Malmö FF,2022/2023
29.0,2.8,9.239088,AS Roma,Ervin Zukanovic,Centre-Back,Sampdoria,2016/2017
19.0,1.75,2.6989806,Parma FC,Raman Chibsah,Central Midfield,Juventus U19,2012/2013
22.0,4.84,2.3045943,Sporting CP,Alan Ruiz,Central Midfield,San Lorenzo,2016/2017
19.0,2.66,5.7139754,SL Benfica,Pedro Pereira,Right Midfield,Sampdoria,2016/2017
27.0,1.5,3.1344821,RC Strasbourg Alsace,Jonas Martin,Defensive Midfield,Real Betis,2017/2018
22.0,19.0,25.319498,Juventus FC,Mattia Caldara,Centre-Back,Atalanta BC,2016/2017
19.0,5.5,3.5873759,Brighton & Hove Albion,Michal Karbownik,Right-Back,Legia Warszawa,2020/2021
22.0,14.1,20.619904,Tottenham Hotspur,Clinton N'Jie,Right Winger,Olympique Lyon,2015/2016
22.0,20.0,9.091493,UC Sampdoria,Emil Audero,Goalkeeper,Juventus,2019/2020
35.0,1.7,22.151299,Manchester United,Lee Grant,Goalkeeper,Stoke City,2018/2019
