club_name,age,player_name,position,club_involved_name,season,Valore Reale,Valore Predetto,Differenza
ACF Fiorentina,25.0,Maximiliano Olivera,Left-Back,Peñarol,5,2.5,4.652011823992366,2.152011823992366
Krylya Sovetov Samara,23.0,Maksim Karpov,Centre-Back,Zenit 2 S-Pb,6,0.2,4.18735219268286,3.9873521926828595
SL Benfica,21.0,Darwin Núñez,Centre-Forward,UD Almería,8,34.0,3.856383505759029,-30.14361649424097
Parma Calcio 1913,21.0,Walid Cheddira,Centre-Forward,Sangiustese,7,0.093,3.669045014847177,3.576045014847177
Inter Milan,22.0,Gianluca Caprari,Second Striker,Pescara,4,8.25,4.939593602674481,-3.3104063973255187
SSC Napoli,21.0,Khvicha Kvaratskhelia,Left Winger,Dinamo Batumi,10,10.0,8.726461589672226,-1.2735384103277738
FC Crotone,25.0,Jacopo Petriccione,Defensive Midfield,Lecce,8,1.5,3.3248580029040697,1.8248580029040697
Arsenal FC,33.0,Petr Cech,Goalkeeper,Chelsea,3,14.0,21.386867104939668,7.386867104939668
Wolverhampton Wanderers,23.0,Matheus Nunes,Central Midfield,Sporting CP,10,45.0,14.110086400645732,-30.889913599354266
SL Benfica,22.0,Chiquinho,Attacking Midfield,Coimbra,6,0.6,3.707883142035799,3.107883142035799
Torino FC,21.0,Josef Martínez,Centre-Forward,BSC Young Boys,2,3.0,3.097534688439117,0.09753468843911683
Valencia CF,21.0,Gonçalo Guedes,Left Winger,Paris SG,6,40.0,12.889821244548871,-27.11017875545113
Hull City,26.0,Shane Long,Centre-Forward,West Brom,1,8.5,8.622989648587906,0.12298964858790562
Liverpool FC,25.0,Alisson,Goalkeeper,AS Roma,6,62.5,39.35665184187281,-23.14334815812719
Queens Park Rangers,18.0,Ryan Manning,Left-Back,Galway United,2,0.068,1.8600008813686697,1.7920008813686696
FK Khimki,26.0,Cristian Tassano,Centre-Back,Santa Clara,10,0.3,3.602694223483804,3.302694223483804
SM Caen,22.0,Alexander Djiku,Centre-Back,SC Bastia,5,2.0,4.320387401422549,2.3203874014225487
Real Madrid,18.0,Jesús Vallejo,Centre-Back,Real Zaragoza,3,5.0,10.876984370838509,5.8769843708385086
